Order	PID	MS SubClass	MS Zoning	Lot Frontage	Lot Area	Street	Alley	Lot Shape	Land Contour	Utilities	Lot Config	Land Slope	Neighborhood	Condition 1	Condition 2	Bldg Type	House Style	Overall Qual	Overall Cond	Year Built	Year Remod/Add	Roof Style	Roof Matl	Exterior 1st	Exterior 2nd	Mas Vnr Type	Mas Vnr Area	Exter Qual	Exter Cond	Foundation	Bsmt Qual	Bsmt Cond	Bsmt Exposure	BsmtFin Type 1	BsmtFin SF 1	BsmtFin Type 2	BsmtFin SF 2	Bsmt Unf SF	Total Bsmt SF	Heating	Heating QC	Central Air	Electrical	1st Flr SF	2nd Flr SF	Low Qual Fin SF	Gr Liv Area	Bsmt Full Bath	Bsmt Half Bath	Full Bath	Half Bath	Bedroom AbvGr	Kitchen AbvGr	Kitchen Qual	TotRms AbvGrd	Functional	Fireplaces	Fireplace Qu	Garage Type	Garage Yr Blt	Garage Finish	Garage Cars	Garage Area	Garage Qual	Garage Cond	Paved Drive	Wood Deck SF	Open Porch SF	Enclosed Porch	3Ssn Porch	Screen Porch	Pool Area	Pool QC	Fence	Misc Feature	Misc Val	Mo Sold	Yr Sold	Sale Type	Sale Condition	SalePrice
191	0902403070	070	RM	60	10560	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	OldTown	Norm	Norm	1Fam	2Story	6	7	1922	1994	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	CBlock	Fa	TA	No	Rec	283	Unf	0	455	738	GasA	Ex	Y	SBrkr	868	602	0	1470	0	0	1	1	2	1	TA	6	Min1	0	NA	Detchd	1970	Unf	2	624	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	140750
192	0903204040	050	RM	53	5830	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	BrkSide	Feedr	Feedr	1Fam	1.5Fin	5	6	1950	1997	Gable	CompShg	MetalSd	MetalSd	None	0	TA	Gd	CBlock	TA	TA	No	Rec	788	Unf	0	200	988	GasA	Ex	Y	SBrkr	1030	582	0	1612	0	0	1	1	3	1	TA	7	Typ	0	NA	Detchd	1950	Unf	1	363	TA	TA	Y	0	0	0	0	0	0	NA	MnPrv	NA	0	3	2010	WD 	Normal	128500
193	0903206120	075	RL		7793	Pave	NA	IR1	Bnk	AllPub	Corner	Gtl	BrkSide	Norm	Norm	1Fam	2.5Unf	7	7	1922	2005	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	BrkTil	Gd	TA	No	BLQ	474	Unf	0	634	1108	GasA	TA	N	FuseA	1160	908	0	2068	0	0	1	1	3	1	Gd	8	Typ	1	Gd	Detchd	1928	Unf	1	315	TA	TA	Y	0	0	60	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	209500
194	0903225150	030	RM	50	5000	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	BrkSide	Feedr	Norm	1Fam	1Story	4	7	1925	1950	Gable	CompShg	MetalSd	MetalSd	None	0	TA	TA	BrkTil	TA	TA	No	Rec	188	Unf	0	577	765	GasA	TA	N	FuseF	765	0	0	765	1	0	1	0	2	1	Gd	4	Typ	0	NA	Detchd	1926	Unf	1	200	Fa	TA	P	135	0	41	0	0	0	NA	MnPrv	NA	0	4	2010	WD 	Normal	87000
195	0903226160	050	RM	50	6000	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	BrkSide	Norm	Norm	1Fam	1.5Fin	6	7	1939	1950	Gable	CompShg	MetalSd	MetalSd	None	0	TA	TA	BrkTil	TA	Gd	No	BLQ	452	LwQ	12	144	608	GasA	TA	Y	SBrkr	608	524	0	1132	1	0	1	0	2	1	TA	5	Typ	0	NA	Detchd	1939	Unf	1	240	TA	TA	Y	0	0	128	0	0	0	NA	MnPrv	NA	0	4	2010	WD 	Abnorml	134000
196	0903227020	050	RM	50	6000	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	BrkSide	Norm	Norm	1Fam	1.5Fin	6	6	1940	1950	Gable	CompShg	MetalSd	MetalSd	None	0	TA	Gd	CBlock	TA	TA	No	LwQ	264	Unf	0	308	572	GasA	Ex	Y	FuseA	848	348	0	1196	0	1	1	1	3	1	TA	6	Typ	2	Gd	Detchd	1973	Unf	2	576	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	3	2010	WD 	Normal	128000
197	0903227150	050	RM	53	6360	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	BrkSide	Feedr	Norm	1Fam	1.5Fin	5	6	1942	1950	Gable	CompShg	MetalSd	MetalSd	Stone	300	TA	TA	CBlock	TA	TA	No	Rec	360	LwQ	159	316	835	GasA	TA	Y	FuseA	955	498	0	1453	0	0	1	1	3	1	Gd	7	Min2	2	Fa	Detchd	1942	Unf	1	240	TA	TA	Y	0	0	35	0	148	0	NA	NA	NA	0	3	2010	WD 	Normal	132000
198	0903228150	050	RM	50	6000	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	BrkSide	Norm	Norm	1Fam	1.5Fin	6	7	1948	1950	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	CBlock	TA	TA	No	Rec	300	Unf	0	480	780	GasA	TA	Y	SBrkr	780	636	0	1416	0	0	1	1	3	1	TA	6	Typ	0	NA	Detchd	1948	Unf	1	312	TA	TA	P	221	0	48	0	0	0	NA	NA	NA	0	3	2010	WD 	Normal	139900
199	0903232190	050	RM	52	6240	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	BrkSide	Norm	Norm	1Fam	1.5Fin	5	7	1936	1980	Gable	CompShg	VinylSd	VinylSd	None	0	TA	TA	CBlock	TA	Fa	No	Rec	276	Unf	0	252	528	GasA	Gd	Y	SBrkr	548	492	0	1040	0	0	1	0	2	1	TA	5	Typ	0	NA	Detchd	1979	Fin	2	624	TA	TA	P	306	0	32	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	123900
200	0903233120	050	RM	52	6240	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	BrkSide	Norm	Norm	1Fam	1.5Fin	5	5	1930	1950	Gable	CompShg	MetalSd	MetalSd	None	0	TA	TA	BrkTil	TA	TA	No	LwQ	448	Unf	0	480	928	GasA	TA	Y	FuseF	928	608	0	1536	0	0	2	0	4	1	TA	7	Typ	1	Gd	Detchd	1930	Unf	2	480	TA	TA	Y	0	10	0	0	0	0	NA	MnPrv	NA	0	3	2010	WD 	Normal	138400
201	0903234050	030	RM	51	6120	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	OldTown	Artery	Norm	1Fam	1Story	6	5	1923	1950	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	BrkTil	Fa	Fa	No	ALQ	960	Unf	0	164	1124	GasA	TA	Y	SBrkr	1068	0	0	1068	1	0	1	0	2	1	TA	5	Typ	1	Gd	Detchd	1923	Unf	1	288	TA	TA	Y	0	0	128	0	0	0	NA	NA	NA	0	3	2010	WD 	Normal	109500
202	0903425110	070	RM	50	10300	Pave	NA	IR1	Bnk	AllPub	Inside	Gtl	OldTown	RRAn	Feedr	1Fam	2Story	7	6	1921	1950	Gable	CompShg	Stucco	Stucco	None	0	TA	TA	BrkTil	TA	TA	No	Unf	0	Unf	0	576	576	GasA	Gd	Y	SBrkr	902	808	0	1710	0	0	2	0	3	1	TA	9	Typ	0	NA	Detchd	1990	Unf	2	480	TA	TA	Y	12	11	64	0	0	0	NA	GdPrv	NA	0	4	2010	WD 	Normal	140000
203	0903426180	050	RM	57	8094	Pave	Grvl	Reg	Lvl	AllPub	Inside	Gtl	OldTown	Norm	Norm	1Fam	1.5Fin	4	5	1915	1950	Gable	CompShg	MetalSd	MetalSd	None	0	TA	Fa	CBlock	TA	TA	No	Unf	0	Unf	0	888	888	GasA	Ex	Y	SBrkr	888	1074	0	1962	0	0	1	1	4	1	TA	9	Typ	1	TA	Detchd	1915	Unf	2	572	TA	TA	Y	160	0	364	0	0	0	NA	GdPrv	NA	0	6	2010	WD 	Normal	149500
204	0903426200	070	RM	60	12900	Pave	Grvl	Reg	Lvl	AllPub	Inside	Gtl	OldTown	Norm	Norm	1Fam	2Story	6	8	1912	2009	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	Gd	Gd	PConc	TA	TA	No	Unf	0	Unf	0	780	780	GasA	Ex	Y	SBrkr	780	780	0	1560	0	0	1	1	3	1	Gd	7	Typ	0	NA	NA		NA	0	0	NA	NA	N	344	0	0	0	168	0	NA	NA	NA	0	5	2010	WD 	Normal	159900
205	0903430080	070	RM	52	3068	Pave	Grvl	Reg	Lvl	AllPub	Inside	Gtl	OldTown	Norm	Norm	1Fam	2Story	6	8	1920	1993	Gable	CompShg	VinylSd	VinylSd	None	0	TA	Gd	BrkTil	TA	TA	No	Unf	0	Unf	0	662	662	GasA	Ex	Y	SBrkr	662	662	0	1324	0	1	1	0	3	1	TA	6	Typ	0	NA	Detchd	1920	Unf	1	180	TA	TA	Y	0	0	112	0	0	0	NA	GdPrv	NA	0	2	2010	WD 	Normal	122000
206	0903450110	090	RM	110	8472	Grvl	NA	IR2	Bnk	AllPub	Corner	Mod	IDOTRR	RRNn	Norm	Duplex	1Story	5	5	1963	1963	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	Fa	TA	CBlock	Gd	TA	Gd	LwQ	104	GLQ	712	0	816	GasA	TA	N	SBrkr	816	0	0	816	1	0	1	0	2	1	TA	5	Typ	0	NA	CarPort	1963	Unf	2	516	TA	TA	Y	106	0	0	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	110000
207	0903454060	190	RM	70	5600	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	IDOTRR	Norm	Norm	2fmCon	2Story	4	5	1930	1950	Hip	CompShg	VinylSd	Wd Shng	None	0	Fa	Fa	Slab	NA	NA	NA	NA	0	NA	0	0	0	GasA	Fa	N	SBrkr	372	720	0	1092	0	0	2	0	3	2	Fa	7	Mod	0	NA	NA		NA	0	0	NA	NA	N	0	0	0	0	0	0	NA	NA	Othr	3500	7	2010	WD 	Normal	55000
208	0903476030	190	RM	76	7630	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	OldTown	Feedr	Norm	2fmCon	2Story	5	9	1900	1996	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	Gd	BrkTil	Gd	TA	No	Unf	0	Unf	0	360	360	GasA	Gd	Y	SBrkr	1032	780	0	1812	0	0	2	0	4	2	Gd	8	Typ	1	Po	Detchd	1999	Unf	2	672	TA	TA	N	344	0	40	0	0	0	NA	MnPrv	NA	0	5	2010	WD 	Normal	140000
209	0904100140	070	RL		24090	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	ClearCr	Norm	Norm	1Fam	2Story	7	7	1940	1950	Gable	CompShg	MetalSd	MetalSd	None	0	TA	Gd	CBlock	TA	TA	Mn	Unf	0	Unf	0	1032	1032	GasA	Ex	Y	SBrkr	1207	1196	0	2403	0	0	2	0	4	1	TA	10	Typ	2	TA	Attchd	1940	Unf	1	349	TA	TA	Y	56	0	318	0	0	0	NA	NA	NA	0	6	2010	COD	Normal	244400
210	0904101110	020	RL	100	15263	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	ClearCr	Feedr	Norm	1Fam	1Story	5	5	1959	1959	Gable	CompShg	HdBoard	HdBoard	BrkFace	90	TA	TA	CBlock	Gd	TA	No	Rec	766	Unf	0	656	1422	GasA	Gd	Y	SBrkr	1675	0	0	1675	0	0	2	0	3	1	TA	8	Typ	2	Gd	Attchd	1959	Unf	1	365	TA	TA	Y	0	132	0	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	173000
211	0904300150	050	RL	72	10632	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	ClearCr	Norm	Norm	1Fam	1.5Fin	5	3	1917	1950	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	BrkTil	Gd	Fa	No	Unf	0	Unf	0	689	689	GasA	Gd	N	SBrkr	725	499	0	1224	0	0	1	1	3	1	Po	6	Mod	0	NA	Detchd	1917	Unf	1	180	Fa	Fa	N	0	0	248	0	0	0	NA	NA	NA	0	1	2010	COD	Normal	107500
212	0904302260	190	RL	60	9900	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	SWISU	Norm	Norm	2fmCon	1.5Fin	5	4	1915	1950	Gable	CompShg	Wd Sdng	Wd Shng	None	0	Fa	Fa	BrkTil	TA	TA	No	Rec	1026	Unf	0	186	1212	GasA	TA	N	SBrkr	1212	180	0	1392	1	0	1	0	3	1	TA	6	Typ	0	NA	NA		NA	0	0	NA	NA	N	0	0	168	0	0	0	NA	NA	NA	0	2	2010	ConLD	Normal	100000
213	0904350045	050	RL	65	6001	Pave	NA	IR1	Bnk	AllPub	Inside	Mod	SWISU	Norm	Norm	1Fam	1.5Fin	6	5	1940	1950	Gable	CompShg	VinylSd	VinylSd	None	0	TA	TA	CBlock	Fa	TA	No	LwQ	368	Unf	0	232	600	GasA	Ex	N	SBrkr	600	319	0	919	0	0	1	0	3	1	TA	5	Typ	0	NA	Detchd	1940	Unf	1	231	TA	TA	Y	0	0	45	0	0	0	NA	MnPrv	NA	0	3	2010	WD 	Normal	95000
214	0904351040	070	C (all)		6449	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	SWISU	Norm	Norm	1Fam	2Story	4	1	1907	1950	Gambrel	CompShg	Wd Sdng	Stucco	None	0	TA	TA	CBlock	TA	TA	No	Rec	73	Unf	0	634	707	GasW	TA	N	SBrkr	942	942	0	1884	0	0	1	1	4	1	TA	7	Typ	0	NA	NA		NA	0	0	NA	NA	N	0	0	239	0	0	0	NA	NA	NA	0	3	2010	WD 	Abnorml	93369
215	0904352190	190	RH	60	6048	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	SWISU	Artery	Norm	2fmCon	1.5Fin	5	7	1910	1950	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	Gd	BrkTil	TA	TA	Mn	LwQ	736	Unf	0	120	856	GasA	Gd	Y	SBrkr	936	744	0	1680	1	0	2	0	2	2	TA	7	Typ	1	Gd	Detchd	1910	Unf	2	450	TA	Fa	P	56	144	0	0	0	0	NA	NA	NA	0	6	2010	COD	Normal	114900
216	0905101100	050	RL	54	6342	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Feedr	Norm	1Fam	1.5Fin	5	8	1875	1996	Gable	CompShg	VinylSd	VinylSd	None	0	TA	Gd	CBlock	TA	TA	No	Unf	0	Unf	0	780	780	GasA	Gd	N	SBrkr	780	240	0	1020	0	0	1	0	2	1	TA	6	Typ	0	NA	NA		NA	0	0	NA	NA	N	0	0	176	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	94000
217	0905101300	090	RL	72	10773	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	Duplex	1Story	4	3	1967	1967	Gable	Tar&Grv	Plywood	Plywood	BrkFace	72	Fa	Fa	CBlock	TA	TA	No	ALQ	704	Unf	0	1128	1832	GasA	TA	N	SBrkr	1832	0	0	1832	2	0	2	0	4	2	TA	8	Typ	0	NA	NA		NA	0	0	NA	NA	Y	0	58	0	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	136000
218	0905101310	090	RL	72	10778	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	Duplex	1Story	4	5	1968	1968	Hip	CompShg	HdBoard	HdBoard	None	0	TA	TA	CBlock	TA	TA	No	Unf	0	Unf	0	1768	1768	GasA	TA	N	SBrkr	1768	0	0	1768	0	0	2	0	4	2	TA	8	Typ	0	NA	NA		NA	0	0	NA	NA	Y	0	0	0	0	0	0	NA	NA	NA	0	4	2010	WD 	Normal	136500
219	0905102060	190	RL	75	11625	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	2fmCon	1Story	5	4	1965	1965	Hip	CompShg	Plywood	HdBoard	None	0	TA	TA	PConc	TA	TA	Mn	BLQ	841	Unf	0	198	1039	GasA	Ex	Y	SBrkr	1039	0	0	1039	1	0	1	1	3	1	TA	6	Typ	0	NA	Attchd	1965	Unf	2	504	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	4	2010	WD 	Normal	131500
220	0905103060	020	RL		11341	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	1Story	5	6	1957	1996	Hip	CompShg	Wd Sdng	Wd Sdng	BrkFace	180	TA	TA	CBlock	Gd	TA	No	ALQ	1302	Unf	0	90	1392	GasA	TA	Y	SBrkr	1392	0	0	1392	1	0	1	1	3	1	TA	5	Mod	1	Gd	Detchd	1957	Unf	2	528	TA	TA	Y	0	0	0	0	95	0	NA	NA	NA	0	5	2010	WD 	Normal	121500
221	0905104210	020	RL	70	8521	Pave	NA	Reg	Lvl	AllPub	FR2	Gtl	Sawyer	Feedr	Norm	1Fam	1Story	5	5	1967	1967	Gable	CompShg	HdBoard	HdBoard	None	0	TA	TA	CBlock	TA	TA	No	ALQ	842	Unf	0	70	912	GasA	TA	Y	SBrkr	912	0	0	912	0	0	1	0	3	1	TA	5	Typ	1	Fa	Detchd	1974	Unf	1	336	TA	TA	Y	0	0	0	0	0	0	NA	MnPrv	NA	0	5	2010	WD 	Normal	125000
222	0905105070	020	RL		8246	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	1Story	5	8	1968	2001	Gable	CompShg	Plywood	Plywood	None	0	TA	Gd	CBlock	TA	TA	Mn	Rec	188	ALQ	668	204	1060	GasA	Ex	Y	SBrkr	1060	0	0	1060	1	0	1	0	3	1	Gd	6	Typ	1	TA	Attchd	1968	Unf	1	270	TA	TA	Y	406	90	0	0	0	0	NA	MnPrv	NA	0	5	2010	WD 	Normal	154000
223	0905105200	020	RL	65	7800	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	1Story	5	7	1966	2008	Hip	CompShg	HdBoard	HdBoard	BrkFace	47	TA	TA	CBlock	TA	TA	Mn	BLQ	240	Rec	474	150	864	GasA	Ex	Y	SBrkr	892	0	0	892	1	0	1	0	3	1	Gd	5	Typ	0	NA	Detchd	1966	Unf	1	416	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	137900
224	0905106140	060	RL	80	9364	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	Sawyer	Norm	Norm	1Fam	2Story	6	7	1969	1969	Gable	CompShg	HdBoard	HdBoard	Stone	143	TA	TA	CBlock	TA	TA	No	ALQ	371	Unf	0	292	663	GasA	TA	Y	SBrkr	663	689	0	1352	0	0	1	1	4	1	TA	7	Typ	0	NA	Attchd	1969	Fin	1	299	TA	TA	Y	379	36	0	0	0	0	NA	MnPrv	NA	0	3	2010	WD 	Normal	158000
225	0905106170	020	RL	65	7832	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	1Story	5	5	1968	1968	Hip	CompShg	HdBoard	HdBoard	None	0	TA	TA	CBlock	TA	TA	No	GLQ	775	Unf	0	89	864	GasA	Ex	Y	SBrkr	864	0	0	864	1	0	1	0	2	1	TA	4	Typ	0	NA	Detchd	1969	Unf	1	280	TA	TA	Y	226	0	0	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	137250
226	0905107110	090	RL		7424	Pave	NA	IR1	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	Duplex	SFoyer	5	5	1978	1978	Gable	CompShg	Plywood	Plywood	None	0	TA	TA	CBlock	Gd	TA	Av	GLQ	1319	Unf	0	0	1319	GasA	TA	Y	SBrkr	1373	0	0	1373	1	0	1	0	3	1	TA	5	Typ	2	TA	Attchd	1978	Fin	2	591	TA	TA	Y	0	0	0	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	160250
227	0905107250	060	RL	86	11227	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	2Story	5	5	1968	1968	Gable	CompShg	HdBoard	HdBoard	None	0	TA	Gd	CBlock	TA	Gd	No	Rec	267	ALQ	453	0	720	GasA	Ex	Y	SBrkr	720	720	0	1440	0	0	1	1	4	1	TA	7	Typ	2	TA	Attchd	1968	Unf	2	480	TA	TA	Y	192	38	0	0	0	0	NA	MnPrv	NA	0	3	2010	WD 	Normal	163000
228	0905107320	060	RL		11616	Pave	NA	IR1	Lvl	AllPub	CulDSac	Gtl	Sawyer	Norm	Norm	1Fam	2Story	6	5	1978	1978	Hip	CompShg	HdBoard	HdBoard	BrkCmn	328	TA	TA	CBlock	TA	TA	Mn	Rec	438	Unf	0	234	672	GasA	TA	Y	SBrkr	672	714	0	1386	0	0	2	1	3	1	TA	6	Typ	1	TA	Attchd	1978	Fin	2	440	TA	TA	Y	335	0	0	0	0	0	NA	GdPrv	NA	0	4	2010	WD 	Abnorml	158900
229	0905109130	060	RL	80	14000	Pave	NA	Reg	Lvl	AllPub	Inside	Mod	ClearCr	Norm	Norm	1Fam	2Story	7	5	1996	1997	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	Gd	TA	PConc	Ex	TA	Gd	GLQ	1201	Unf	0	105	1306	GasA	Ex	Y	SBrkr	1306	954	0	2260	1	0	2	1	3	1	Gd	7	Typ	0	NA	Attchd	1996	RFn	2	533	TA	TA	Y	296	44	0	0	0	0	NA	NA	NA	0	4	2010	WD 	Normal	328000
230	0905109170	020	RL		20062	Pave	NA	IR1	Low	AllPub	Inside	Mod	ClearCr	Norm	Norm	1Fam	1Story	7	7	1977	2001	Hip	CompShg	Wd Sdng	Wd Sdng	None	0	Gd	Gd	CBlock	Gd	TA	Gd	ALQ	1092	Unf	0	328	1420	GasA	Gd	Y	SBrkr	1483	0	0	1483	1	0	1	1	1	1	TA	4	Typ	2	TA	Attchd	1977	RFn	2	690	TA	TA	Y	496	0	0	0	0	0	NA	NA	NA	0	4	2010	WD 	Normal	270000
231	0905201030	030	RL	94	9259	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	Sawyer	Feedr	Norm	1Fam	1Story	4	4	1927	1950	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	BrkTil	Fa	TA	No	Unf	0	Unf	0	660	660	GasA	TA	N	SBrkr	756	0	0	756	0	0	1	0	2	1	TA	4	Typ	0	NA	Detchd	1945	Unf	2	440	TA	TA	N	80	0	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	85000
232	0905202090	020	RL	60	9600	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Sawyer	Norm	Norm	1Fam	1Story	4	7	1950	1995	Gable	CompShg	VinylSd	HdBoard	None	0	TA	TA	CBlock	Gd	TA	No	BLQ	442	Unf	0	625	1067	GasA	TA	Y	SBrkr	1067	0	0	1067	0	0	2	0	2	1	Gd	4	Min2	0	NA	Attchd	1996	Unf	2	436	TA	TA	Y	290	0	0	0	0	0	NA	NA	NA	0	2	2010	WD 	Normal	128000
233	0905325030	040	RL		23595	Pave	NA	Reg	Low	AllPub	Inside	Sev	ClearCr	Norm	Norm	1Fam	1Story	7	6	1979	1979	Shed	WdShake	Plywood	Plywood	None	0	Gd	TA	PConc	Gd	TA	Gd	GLQ	1258	Unf	0	74	1332	GasA	TA	Y	SBrkr	1332	192	0	1524	2	0	0	1	0	1	Gd	4	Typ	1	TA	Attchd	1979	Fin	2	586	TA	TA	Y	268	0	0	0	0	0	NA	NA	NA	0	4	2010	WD 	Normal	260000
234	0905352140	060	RL		17082	Pave	NA	IR1	Low	AllPub	CulDSac	Mod	ClearCr	Norm	Norm	1Fam	2Story	6	5	1978	1992	Gable	CompShg	VinylSd	VinylSd	BrkFace	288	TA	TA	PConc	Gd	TA	Av	ALQ	964	Unf	0	153	1117	GasA	Ex	Y	SBrkr	1117	864	0	1981	1	0	2	1	4	1	Gd	8	Typ	1	TA	Attchd	1978	Fin	2	522	TA	TA	Y	336	104	0	0	0	0	NA	NA	NA	0	5	2010	WD 	Normal	230000
235	0905378040	050	RL	124	18600	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Edwards	Norm	Norm	1Fam	1.5Fin	3	4	1938	1990	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	CBlock	TA	TA	Mn	BLQ	288	LwQ	684	0	972	GasA	TA	Y	FuseA	1052	558	0	1610	0	1	2	0	4	1	Fa	8	Typ	1	Gd	Attchd	1938	RFn	1	480	TA	TA	Y	0	0	60	0	0	0	NA	NA	Shed	450	6	2010	WD 	Normal	124000
236	0905426060	030	RL	85	10625	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	Edwards	Norm	Norm	1Fam	1Story	5	5	1920	1950	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	BrkTil	TA	TA	No	ALQ	108	Unf	0	350	458	GasA	Fa	N	SBrkr	835	0	0	835	0	0	1	0	2	1	TA	5	Typ	0	NA	Basment	1920	Unf	1	366	Fa	TA	Y	0	0	77	0	0	0	NA	NA	Shed	400	5	2010	COD	Abnorml	83000
237	0905426200	020	RL	65	11479	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Edwards	Norm	Norm	1Fam	1Story	6	7	1950	1987	Gable	CompShg	Wd Sdng	Plywood	None	0	TA	TA	CBlock	TA	TA	No	GLQ	104	Rec	387	172	663	GasA	Ex	Y	SBrkr	1074	0	0	1074	1	0	1	0	3	1	Gd	6	Typ	1	TA	Attchd	1987	Unf	1	467	TA	TA	Y	0	52	52	0	0	0	NA	MnPrv	NA	0	6	2010	WD 	Normal	144500
238	0905451320	020	RL	68	9571	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Edwards	Norm	Norm	1Fam	1Story	5	6	1956	1956	Gable	CompShg	Wd Sdng	Wd Sdng	None	0	TA	TA	CBlock	TA	TA	Av	BLQ	739	Unf	0	405	1144	GasA	TA	Y	SBrkr	1144	0	0	1144	1	0	1	0	3	1	TA	6	Typ	0	NA	Attchd	1956	Unf	1	596	TA	TA	Y	44	0	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	129000
239	0905452110	050	RL	50	9350	Pave	NA	Reg	Bnk	AllPub	Inside	Gtl	Edwards	Norm	Norm	1Fam	1.5Fin	4	6	1947	1979	Gable	CompShg	WdShing	Wd Shng	None	0	TA	TA	CBlock	TA	Fa	No	LwQ	192	Unf	0	564	756	GasA	Ex	Y	SBrkr	1169	0	362	1531	0	0	1	0	3	1	TA	8	Typ	1	TA	Detchd	1947	Unf	1	209	Fa	TA	Y	0	0	0	0	0	0	NA	MnPrv	NA	0	6	2010	WD 	Normal	127000
240	0905452160	020	RL	75	9525	Pave	NA	Reg	Lvl	AllPub	Inside	Gtl	Edwards	Norm	Norm	1Fam	1Story	5	7	1954	1998	Gable	CompShg	WdShing	Wd Shng	None	0	TA	TA	CBlock	TA	TA	Av	BLQ	954	Unf	0	218	1172	GasA	TA	Y	SBrkr	1172	0	0	1172	1	0	1	0	3	1	TA	5	Typ	0	NA	Attchd	1954	Fin	1	366	TA	TA	Y	240	0	0	0	0	0	NA	NA	NA	0	6	2010	WD 	Normal	128000
241	0905453040	020	RL	83	10420	Pave	NA	Reg	Lvl	AllPub	Corner	Gtl	Edwards	Norm	Norm	1Fam	1Story	6	5	2009	2009	Gable	CompShg	VinylSd	VinylSd	None	0	TA	TA	PConc	Gd	TA	Mn	GLQ	36	Unf	0	1176	1212	GasA	Ex	Y	SBrkr	1212	0	0	1212	0	0	2	0	3	1	Gd	6	Typ	0	NA	Attchd	2009	RFn	2	460	TA	TA	Y	100	22	0	0	0	0	NA	NA	NA	0	3	2010	WD 	Normal	186000
